Equipment ID,Type,Site ID,Check-In Date,Check-Out Date,Engine Hours/Day,Idle Hours/Day,Rental Days,Last Operator ID
EQX1001,Excavator,S003,2025-04-01,2025-04-16,1.5,10,15,OP101
EQX1002,Crane,NULL,2025-03-10,2025-03-30,0,11,20,NULL
EQX1003,Bulldozer,S002,2025-02-15,2025-03-11,7.5,0.5,25,OP203
EQX1004,Excavator,S004,2025-05-05,2025-05-15,2,9,10,OP106
EQX1005,Bulldozer,S006,2025-01-01,2025-01-31,8,0,30,OP301
EQX1006,Grader,S001,2025-04-05,2025-04-23,3,6,18,OP114
EQX1007,Excavator,NULL,2025-03-20,2025-04-01,0,12,12,NULL
EQX1008,Excavator,S006,2025-01-21,2025-02-09,3.7,5.8,19,OP126
EQX1009,Excavator,S001,2025-01-22,2025-02-07,2.5,0.8,16,OP123
EQX1010,Crane,S002,2025-01-07,2025-01-21,0,8.1,14,OP283
EQX1011,Crane,S001,2025-01-21,2025-02-01,2.1,0.9,11,OP294
EQX1012,Crane,S003,2025-01-26,2025-02-06,2.7,4.5,11,OP126
EQX1013,Crane,S001,2025-01-03,2025-01-13,5.2,2.8,10,OP286
EQX1014,Bulldozer,S006,2025-01-15,2025-02-06,3.5,0.9,22,OP258
EQX1015,Bulldozer,S002,2025-01-29,2025-02-14,7.2,0.3,16,OP297
EQX1016,Bulldozer,S004,2025-01-10,2025-01-27,8.2,2.9,17,OP262
EQX1017,Grader,S006,2025-01-27,2025-02-08,3.8,2.2,12,OP339
EQX1018,Excavator,S002,2025-02-22,2025-03-11,5.8,2.8,17,OP141
EQX1019,Excavator,S003,2025-02-15,2025-03-05,6.1,1.2,18,OP315
EQX1020,Crane,S004,2025-02-25,2025-03-05,5.1,3.7,8,OP168
EQX1021,Crane,S003,2025-02-03,2025-02-17,0,11.5,14,OP154
EQX1022,Crane,S002,2025-02-21,2025-03-08,3.3,0.7,15,OP290
EQX1023,Crane,S003,2025-02-18,2025-03-04,3.1,1.5,14,OP156
EQX1024,Bulldozer,S002,2025-02-05,2025-02-17,7.5,6.0,12,OP260
EQX1025,Bulldozer,S005,2025-02-06,2025-03-01,6.6,2.3,23,OP219
EQX1026,Bulldozer,S005,2025-02-17,2025-03-24,7.1,0.8,35,OP292
EQX1027,Grader,S004,2025-02-09,2025-02-21,2.6,0.9,12,OP100
EQX1028,Excavator,S002,2025-03-31,2025-04-19,3.6,1.6,19,OP229
EQX1029,Excavator,S005,2025-03-30,2025-04-17,3.8,8.0,18,OP150
EQX1030,Excavator,S005,2025-03-05,2025-03-15,5.2,3.7,10,OP335
EQX1031,Crane,S003,2025-03-01,2025-03-13,1.1,0.6,12,OP161
EQX1032,Crane,S001,2025-03-02,2025-03-29,1.4,0.4,27,OP350
EQX1033,Crane,S005,2025-03-25,2025-04-01,1.6,0.5,7,OP142
EQX1034,Bulldozer,S006,2025-03-09,2025-04-01,8.8,7.7,23,OP276
EQX1035,Bulldozer,S004,2025-03-07,2025-03-29,9.0,5.5,22,OP330
EQX1036,Bulldozer,S005,2025-03-17,2025-04-03,4.3,1.3,17,OP241
EQX1037,Grader,S002,2025-03-08,2025-03-15,2.4,1.2,7,OP117
EQX1038,Grader,NULL,2025-03-29,2025-04-10,2.4,0.5,12,NULL
EQX1039,Excavator,S005,2025-04-22,2025-05-08,2.8,2.2,16,OP247
EQX1040,Excavator,S001,2025-04-16,2025-05-31,6.8,1.2,45,OP268
EQX1041,Excavator,S006,2025-04-14,2025-04-28,4.8,3.1,14,OP267
EQX1042,Crane,S001,2025-04-21,2025-05-02,4.6,9.6,11,OP163
EQX1043,Crane,S002,2025-04-07,2025-04-19,0,8.6,12,OP171
EQX1044,Crane,S005,2025-04-15,2025-05-12,3.2,2.3,27,OP125
EQX1045,Bulldozer,S002,2025-04-02,2025-04-12,8.8,7.7,10,OP142
EQX1046,Bulldozer,S002,2025-04-14,2025-04-30,8.2,6.9,16,OP197
EQX1047,Grader,S003,2025-04-01,2025-04-12,6.6,4.8,11,OP208
EQX1048,Grader,S002,2025-04-23,2025-05-08,5.3,2.3,15,OP175
EQX1049,Excavator,S003,2025-05-07,2025-05-24,6.4,0.4,17,OP114
EQX1050,Excavator,S001,2025-05-02,2025-05-18,7.5,3.7,16,OP345
EQX1051,Excavator,S002,2025-05-17,2025-05-27,2.4,3.7,10,OP203
EQX1052,Excavator,S005,2025-05-04,2025-05-21,3.5,1.8,17,OP120
EQX1053,Crane,S002,2025-05-14,2025-05-28,3.6,2.9,14,OP271
EQX1054,Crane,S003,2025-05-23,2025-06-01,3.0,1.7,9,OP217
EQX1055,Crane,S005,2025-05-11,2025-05-17,1.0,0.3,6,OP125
EQX1056,Bulldozer,S001,2025-05-03,2025-05-21,3.8,1.2,18,OP325
EQX1057,Bulldozer,S003,2025-05-08,2025-05-23,5.6,2.8,15,OP256
EQX1058,Bulldozer,S006,2025-05-26,2025-06-05,7.0,3.6,10,OP126
EQX1059,Grader,S005,2025-05-31,2025-06-11,2.6,0.2,11,OP139
EQX1060,Grader,S006,2025-05-09,2025-06-12,5.6,1.0,34,OP318
EQX1061,Excavator,S001,2025-06-09,2025-06-21,7.4,5.8,12,OP262
EQX1062,Excavator,S006,2025-06-14,2025-06-22,2.0,1.2,8,OP350
EQX1063,Excavator,S001,2025-06-09,2025-06-24,5.3,8.4,15,OP128
EQX1064,Excavator,S003,2025-06-03,2025-06-22,7.4,3.8,19,OP249
EQX1065,Crane,S001,2025-06-18,2025-06-25,1.2,4.0,7,OP330
EQX1066,Crane,S003,2025-06-12,2025-06-20,0,10.7,8,OP299
EQX1067,Bulldozer,S002,2025-06-18,2025-07-11,8.8,6.2,23,OP321
EQX1068,Bulldozer,S006,2025-06-06,2025-06-21,8.3,0.2,15,OP336
EQX1069,Bulldozer,S002,2025-06-11,2025-07-04,7.8,6.3,23,OP168
EQX1070,Grader,S004,2025-06-06,2025-06-14,3.9,0.1,8,OP156
EQX1071,Grader,S002,2025-06-07,2025-06-21,3.7,2.6,14,OP157
EQX1072,Grader,S003,2025-06-01,2025-06-14,3.6,2.7,13,OP189
EQX1073,Excavator,S001,2025-07-21,2025-08-08,7.9,4.0,18,OP129
EQX1074,Excavator,S001,2025-07-29,2025-08-08,5.5,4.9,10,OP127
EQX1075,Excavator,S005,2025-07-20,2025-08-08,6.7,2.7,19,OP129
EQX1076,Excavator,S001,2025-07-13,2025-07-24,3.5,2.1,11,OP233
EQX1077,Excavator,S006,2025-07-30,2025-08-17,6.3,4.3,18,OP150
EQX1078,Crane,S006,2025-07-12,2025-07-27,5.6,3.2,15,OP317
EQX1079,Crane,S003,2025-07-04,2025-07-13,3.5,2.0,9,OP203
EQX1080,Bulldozer,S004,2025-07-23,2025-08-31,4.2,2.5,39,OP273
EQX1081,Bulldozer,S003,2025-07-24,2025-08-12,5.4,4.1,19,OP173
EQX1082,Grader,S004,2025-07-07,2025-07-23,5.0,1.5,16,OP213
EQX1083,Grader,S006,2025-07-22,2025-08-05,0,11.2,14,OP143
EQX1084,Grader,S001,2025-07-22,2025-08-06,5.3,9.4,15,OP309
EQX1085,Excavator,S002,2025-08-31,2025-09-18,3.9,2.7,18,OP106
EQX1086,Excavator,S004,2025-08-02,2025-09-16,5.7,4.0,45,OP206
EQX1087,Excavator,S004,2025-08-29,2025-09-09,6.3,2.2,11,OP162
EQX1088,Excavator,S001,2025-08-05,2025-08-13,7.4,5.9,8,OP299
EQX1089,Excavator,S005,2025-08-14,2025-09-03,0,11.8,20,OP218
EQX1090,Crane,S006,2025-08-02,2025-08-08,3.3,2.2,6,OP235
EQX1091,Crane,S005,2025-08-18,2025-08-30,4.1,2.6,12,OP209
EQX1092,Bulldozer,S004,2025-08-27,2025-09-20,8.4,5.9,24,OP215
EQX1093,Bulldozer,S006,2025-08-09,2025-08-27,7.6,3.7,18,OP161
EQX1094,Bulldozer,S005,2025-08-09,2025-08-28,4.4,1.3,19,OP120
EQX1095,Grader,S001,2025-08-05,2025-08-18,5.5,10.0,13,OP206
EQX1096,Grader,S004,2025-08-14,2025-08-28,4.1,0.7,14,OP199
EQX1097,Grader,S005,2025-08-29,2025-09-16,2.1,1.4,18,OP197
EQX1098,Excavator,NULL,2025-09-16,2025-09-29,3.8,1.3,13,NULL
EQX1099,Excavator,S005,2025-09-29,2025-10-13,5.2,3.5,14,OP329
